,property_type,state,region,lat,lon,area_m2
102,apartment,Pernambuco,Northeast,-8.1098693,-34.897672,
103,apartment,Pernambuco,Northeast,-8.1098693,-34.897672,
104,apartment,Pernambuco,Northeast,-8.040233,-34.898281,
105,apartment,Pernambuco,Northeast,-8.02765,-34.920338,64
106,apartment,Pernambuco,Northeast,-8.192952,-34.931366,64
107,apartment,Pernambuco,Northeast,-8.152399,-34.920338,148
108,apartment,Pernambuco,Northeast,-8.1869427,-35.5808245,
109,apartment,Pernambuco,Northeast,-8.041209,-34.895039,94
110,apartment,Pernambuco,Northeast,-8.0347457,-34.8972145,128
111,apartment,Pernambuco,Northeast,-8.035595,-34.921719,216
112,apartment,Pernambuco,Northeast,-8.129817,-34.914825,135
113,apartment,Pernambuco,Northeast,-8.109441,-34.898106,130
114,apartment,Pernambuco,Northeast,-8.1230628,-34.903959,
115,apartment,Pernambuco,Northeast,-8.0331805,-34.8968813,
116,apartment,Pernambuco,Northeast,-8.0373731,-34.8971001,145
117,apartment,Pernambuco,Northeast,-8.056418,-34.909309,112
118,apartment,Pernambuco,Northeast,-8.033863,-34.918545,200
119,apartment,Pernambuco,Northeast,-8.108315,-34.898277,108
120,apartment,Pernambuco,Northeast,-8.113885,-34.89584,
121,apartment,Pernambuco,Northeast,-8.115533,-34.896854,86
122,apartment,Pernambuco,Northeast,-8.126271,-34.903793,135
123,apartment,Pernambuco,Northeast,-8.040929,-34.888283,60
124,apartment,Pernambuco,Northeast,-8.038549,-34.901844,75
125,apartment,Pernambuco,Northeast,-8.027162,-34.913445,180
126,apartment,Pernambuco,Northeast,-8.0620223,-34.8971463,93
127,apartment,Pernambuco,Northeast,-8.0373731,-34.8971001,110
128,apartment,Pernambuco,Northeast,-8.1208606,-34.899662,175
129,apartment,Pernambuco,Northeast,-8.1460785,-34.906419,170
130,apartment,Pernambuco,Northeast,-8.056418,-34.909309,67
131,apartment,Pernambuco,Northeast,-8.089291,-34.903793,119
132,apartment,Pernambuco,Northeast,-8.183491,-34.921719,54
133,apartment,Pernambuco,Northeast,-8.046962,-34.899654,100
134,apartment,Pernambuco,Northeast,-8.1092891,-34.907094,73
135,apartment,Pernambuco,Northeast,-8.1092891,-34.907094,73
136,apartment,Pernambuco,Northeast,-8.028039,-34.8992006,
137,apartment,Pernambuco,Northeast,-8.0938881,-34.883418,66
138,apartment,Pernambuco,Northeast,-8.09607,-34.884548,145
139,apartment,Pernambuco,Northeast,-8.1460785,-34.906419,167
140,apartment,Pernambuco,Northeast,-8.004057,-34.841721,75
141,apartment,Pernambuco,Northeast,-8.034344,-34.896725,55
142,apartment,Pernambuco,Northeast,-8.0508763,-34.9113739,155
143,house,Pernambuco,Northeast,-8.049178,-34.924473,200
144,apartment,Pernambuco,Northeast,-8.0310293,-34.9275023,140
145,house,Pernambuco,Northeast,-8.0314434,-34.92159,190
146,apartment,Pernambuco,Northeast,-8.044832,-34.910873,65
147,apartment,Pernambuco,Northeast,-8.089291,-34.903793,109
148,apartment,Pernambuco,Northeast,-8.108554,-34.891766,102
149,apartment,Pernambuco,Northeast,-8.126271,-34.903793,165
150,apartment,Pernambuco,Northeast,-8.034408,-34.893291,
151,apartment,Pernambuco,Northeast,-8.0369,-34.884521,65
152,apartment,Pernambuco,Northeast,-8.056418,-34.909309,95
153,apartment,Pernambuco,Northeast,-8.056418,-34.909309,86
154,apartment,Pernambuco,Northeast,-8.1241574,-34.9000543,74
155,apartment,Pernambuco,Northeast,-8.1937545,-34.9228696,63
156,apartment,Pernambuco,Northeast,-8.1416581,-34.9099297,125
157,apartment,Pernambuco,Northeast,-8.1103967,-34.9063162,110
158,apartment,Pernambuco,Northeast,-8.1103967,-34.9063162,120
159,apartment,Pernambuco,Northeast,-8.1978842,-34.92564,64
160,apartment,Pernambuco,Northeast,-8.1118458,-34.8947337,158
161,apartment,Pernambuco,Northeast,-8.0955108,-34.884688,156
162,apartment,Pernambuco,Northeast,-8.0944065,-34.883792,123
163,apartment,Pernambuco,Northeast,-8.1294021,-34.9056294,63
164,house,Pernambuco,Northeast,-8.183491,-34.921719,250
165,apartment,Pernambuco,Northeast,-8.094985,-34.892761,240
166,apartment,Pernambuco,Northeast,-8.1263587,-34.905748,130
167,apartment,Pernambuco,Northeast,-8.1207496,-34.899219,120
168,apartment,Pernambuco,Northeast,-8.1435997,-34.909065,103
169,apartment,Pernambuco,Northeast,-8.034344,-34.896725,82
170,apartment,Pernambuco,Northeast,-8.0288008,-34.9190997,
171,apartment,Pernambuco,Northeast,-8.046962,-34.899654,100
172,apartment,Pernambuco,Northeast,-8.044034,-34.8955201,170
173,apartment,Pernambuco,Northeast,-8.062398,-34.904552,140
174,apartment,Pernambuco,Northeast,-8.034104,-34.89806,
175,apartment,Pernambuco,Northeast,-8.027134,-34.901733,108
176,apartment,Pernambuco,Northeast,-8.1103967,-34.9063162,142
177,apartment,Pernambuco,Northeast,-8.1103967,-34.9063162,170
178,apartment,Pernambuco,Northeast,-8.126271,-34.903793,
179,apartment,Pernambuco,Northeast,-8.032375,-34.906925,203
180,apartment,Pernambuco,Northeast,-8.062398,-34.904552,140
181,house,Pernambuco,Northeast,-8.1567832,-34.914263,250
182,apartment,Pernambuco,Northeast,-8.158369,-34.920389,
183,apartment,Pernambuco,Northeast,-8.044832,-34.910873,65
184,apartment,Pernambuco,Northeast,-8.1112378,-34.8958906,163
185,apartment,Pernambuco,Northeast,-8.033752,-34.8982362,89
186,apartment,Pernambuco,Northeast,-8.033752,-34.8982362,113
187,apartment,Pernambuco,Northeast,-8.043853,-34.907928,203
188,apartment,Pernambuco,Northeast,-8.068109,-34.924175,75
189,apartment,Pernambuco,Northeast,-8.0179739,-34.940726,58
190,apartment,Pernambuco,Northeast,-8.0307507,-34.917765,68
191,apartment,Pernambuco,Northeast,-8.0275469,-34.9078785,66
192,apartment,Pernambuco,Northeast,-8.1249136,-34.9077055,56
193,apartment,Pernambuco,Northeast,-8.1410578,-34.9047129,140
194,apartment,Pernambuco,Northeast,-8.0485123,-34.9106168,62
195,apartment,Pernambuco,Northeast,-8.0336819,-34.8983573,127
196,apartment,Pernambuco,Northeast,-8.0578381,-34.882897,131
197,apartment,Pernambuco,Northeast,-8.02765,-34.920338,96
198,apartment,Pernambuco,Northeast,-8.048381,-34.908379,75
199,apartment,Pernambuco,Northeast,-8.021971,-34.931366,150
200,apartment,Pernambuco,Northeast,-8.0578238,-34.9126499,140
201,apartment,Pernambuco,Northeast,-8.14068,-34.905975,
202,apartment,Pernambuco,Northeast,-8.02765,-34.920338,105
203,apartment,Pernambuco,Northeast,-8.106074,-34.888065,94
204,apartment,Pernambuco,Northeast,-8.140393,-34.906624,128
205,apartment,Pernambuco,Northeast,-8.140393,-34.906624,128
206,apartment,Pernambuco,Northeast,-8.09607,-34.884548,90
207,apartment,Pernambuco,Northeast,-8.103477,-34.888622,230
208,apartment,Pernambuco,Northeast,-8.0378897,-34.9113117,122
209,apartment,Pernambuco,Northeast,-8.035595,-34.921719,106
210,apartment,Pernambuco,Northeast,-8.021971,-34.931366,204
211,apartment,Pernambuco,Northeast,-8.050071,-34.89138,
212,apartment,Pernambuco,Northeast,-8.056418,-34.909309,91
213,apartment,Pernambuco,Northeast,-8.0369,-34.884521,64
214,apartment,Pernambuco,Northeast,-8.1274129,-34.905172,122
215,apartment,Pernambuco,Northeast,-8.0334139,-34.9089276,
216,apartment,Pernambuco,Northeast,-8.0418977,-34.9456721,93
217,apartment,Pernambuco,Northeast,-8.086438,-34.89069,87
218,apartment,Pernambuco,Northeast,-8.116624,-34.899124,
219,apartment,Pernambuco,Northeast,-8.027162,-34.913445,
220,apartment,Pernambuco,Northeast,-8.044757,-34.89185,110
221,apartment,Pernambuco,Northeast,-8.044204,-34.891396,147
222,apartment,Pernambuco,Northeast,-8.048158,-34.910992,
223,apartment,Pernambuco,Northeast,-8.02765,-34.920338,104
224,apartment,Pernambuco,Northeast,-8.046015,-34.910507,86
225,apartment,Pernambuco,Northeast,-8.049665,-34.931366,62
226,apartment,Pernambuco,Northeast,-8.044542,-34.894829,143
227,apartment,Pernambuco,Northeast,-8.0407538,-34.888156,60
228,apartment,Pernambuco,Northeast,-8.02765,-34.920338,94
229,apartment,Pernambuco,Northeast,-8.126271,-34.903793,176
230,apartment,Pernambuco,Northeast,-8.215346,-34.927231,103
231,apartment,Pernambuco,Northeast,-8.143694,-34.906676,
232,apartment,Pernambuco,Northeast,-8.035595,-34.921719,106
233,apartment,Pernambuco,Northeast,-8.115533,-34.896854,117
234,apartment,Pernambuco,Northeast,-8.113256,-34.897057,55
235,apartment,Pernambuco,Northeast,-8.0576539,-34.8965881,120
236,apartment,Pernambuco,Northeast,-8.034929,-34.892761,125
237,apartment,Pernambuco,Northeast,-8.034929,-34.892761,115
238,apartment,Pernambuco,Northeast,-8.040035,-34.899654,68
239,apartment,Pernambuco,Northeast,-8.034929,-34.892761,125
240,apartment,Pernambuco,Northeast,-8.047979,-34.908512,82
241,apartment,Pernambuco,Northeast,-8.035284,-34.903919,148
242,apartment,Pernambuco,Northeast,-8.02765,-34.920338,57
243,apartment,Pernambuco,Northeast,-8.034104,-34.89806,113
244,apartment,Pernambuco,Northeast,-8.047052,-34.874832,80
245,apartment,Pernambuco,Northeast,-8.029394,-34.922832,85
246,apartment,Pernambuco,Northeast,-8.0380508,-34.8950597,
247,apartment,Pernambuco,Northeast,-8.02765,-34.920338,96
248,apartment,Pernambuco,Northeast,-8.125979,-34.903142,
249,apartment,Pernambuco,Northeast,-8.1413429,-34.907283,
250,apartment,Pernambuco,Northeast,-8.1311923,-34.905777,82
251,apartment,Pernambuco,Northeast,-8.1280955,-34.906856,98
252,apartment,Pernambuco,Northeast,-8.1161578,-34.893642,
253,apartment,Pernambuco,Northeast,-8.1376548,-34.905588,68
254,apartment,Pernambuco,Northeast,-8.125862,-34.904531,83
255,apartment,Pernambuco,Northeast,-8.0927682,-34.884335,79
256,apartment,Pernambuco,Northeast,-8.1239701,-34.905836,80
257,apartment,Pernambuco,Northeast,-8.0565882,-34.8781384,176
258,apartment,Pernambuco,Northeast,-8.1132697,-34.896273,136
259,apartment,Pernambuco,Northeast,-8.1413642,-34.9263512,92
260,apartment,Pernambuco,Northeast,-8.1306902,-34.9098391,65
261,apartment,Pernambuco,Northeast,-8.206632,-34.921719,189
262,apartment,Pernambuco,Northeast,-8.056418,-34.909309,112
263,apartment,Pernambuco,Northeast,-8.02765,-34.920338,87
264,apartment,Pernambuco,Northeast,-8.0383055,-34.9146682,
265,apartment,Pernambuco,Northeast,-8.035134,-34.893791,86
266,apartment,Pernambuco,Northeast,-8.027162,-34.913445,79
267,apartment,Pernambuco,Northeast,-8.030991,-34.880032,55
268,apartment,Pernambuco,Northeast,-8.043853,-34.907928,203
269,apartment,Pernambuco,Northeast,-8.0369,-34.884521,64
270,apartment,Pernambuco,Northeast,-8.02765,-34.920338,67
271,apartment,Pernambuco,Northeast,-8.032006,-34.89827,175
272,apartment,Pernambuco,Northeast,-8.02765,-34.920338,65
273,apartment,Pernambuco,Northeast,-8.032974,-34.924965,189
274,apartment,Pernambuco,Northeast,-8.032375,-34.906925,226
275,apartment,Pernambuco,Northeast,-8.044757,-34.89185,179
276,house,Pernambuco,Northeast,-8.46275,-35.082859,209
277,apartment,Pernambuco,Northeast,-8.035595,-34.921719,155
278,apartment,Pernambuco,Northeast,-8.040437,-34.883881,55
279,apartment,Pernambuco,Northeast,-8.034929,-34.892761,86
280,apartment,Pernambuco,Northeast,-8.040437,-34.883881,56
281,apartment,Pernambuco,Northeast,-8.040437,-34.883881,56
282,apartment,Pernambuco,Northeast,-8.044204,-34.891396,105
283,apartment,Pernambuco,Northeast,-8.0352674,-34.915894,235
284,apartment,Pernambuco,Northeast,-8.0395221,-34.9073309,71
285,apartment,Pernambuco,Northeast,-8.113256,-34.897057,55
286,apartment,Pernambuco,Northeast,-8.1238,-34.90247,135
287,apartment,Pernambuco,Northeast,-8.103477,-34.888622,85
288,apartment,Pernambuco,Northeast,-8.021971,-34.931366,140
289,apartment,Pernambuco,Northeast,-8.1395373,-34.909275,85
290,apartment,Pernambuco,Northeast,-8.112362,-34.895853,183
291,apartment,Pernambuco,Northeast,-8.183698,-34.931366,
292,apartment,Pernambuco,Northeast,-8.1398641,-34.908659,166
293,apartment,Pernambuco,Northeast,-8.1376548,-34.905588,66
294,apartment,Pernambuco,Northeast,-8.1237621,-34.903048,
295,apartment,Pernambuco,Northeast,-8.128416,-34.903417,82
296,apartment,Pernambuco,Northeast,-8.126271,-34.903793,107
297,apartment,Pernambuco,Northeast,-8.149876,-34.910686,153
298,apartment,Pernambuco,Northeast,-8.034344,-34.896725,87
